연번,가맹점명,업종명,우편번호,소재지주소,제공기준일자
3260,공본스터디카페 서판교센터,"공연장,극장",13479,경기도 성남시 분당구 서판교로 36  4(일부)층 402호,2025-06-26
3261,공부공방 독서실,독서실,13466,"경기도 성남시 분당구 운중로 118  10층 1002호(운중동,스타타워)",2025-06-26
3262,공부다방,"공연장,극장",13135,"경기도 성남시 수정구 산성대로 569  3, 4층",2025-06-26
3263,공부의유혹  사회보습소,일반전문학원,13612,"경기 성남시 분당구 정자로 78,  501호 (정자동, 영동프라자)",2025-06-26
3264,공부의철인 주식회사,일반전문학원,13595,"경기도 성남시 분당구 황새울로258번길 32  505,506호",2025-06-26
3265,공생복지협동조합,기타16,13426,"경기 성남시 중원구 도촌남로 27,  601호 (도촌동, 동강프라자)",2025-06-26
3266,공성,"용역서비스(연구,번역등)",13124,"경기 성남시 수정구 수정남로324번길 16,  301호 (산성동, 산성호스트빌라)",2025-06-26
3267,공세계,제과점,13435,경기도 성남시 중원구 여수울로15번길 4-11  1층,2025-06-26
3268,공손서점,서적,13586,"경기 성남시 분당구 돌마로 478,  1층 (서현동, 창인프라자)",2025-06-26
3269,공송의원,개인병원,13153,"경기 성남시 중원구 산성대로 530,  3층 (은행동)",2025-06-26
3270,공시우육면&라사천마라탕,중식,13426,"경기도 성남시 중원구 도촌남로 27  1층 104호(도촌동, 동강프라자)",2025-06-26
3271,공신영어 헤네케학원,일반전문학원,13522,"경기 성남시 분당구 판교로 445,  305호 (야탑동)",2025-06-26
3272,공심선원,종교단체,13595,"경기도 성남시 분당구 백현로101번길 20  503,504호(수내동,그린프라자빌딩)",2025-06-26
3273,공예공간,수제용품점,13522,"경기 성남시 분당구 판교로 445,  상가동 3층 1호 (야탑동)",2025-06-26
3274,공예카페연협동조합,"유리,액자,거울",13202,"경기 성남시 중원구 갈마치로288번길 24  (상대원동, 노벨테크노타워)",2025-06-26
3275,공원분식,한식,13581,"경기 성남시 분당구 수내로 181,  근린상가동 102 (분당동, 샛별마을우방아파트)",2025-06-26
3276,공인대한번역행정사,"전문서비스(회계,변리,컨설팅등)",13591,경기도 성남시 분당구 황새울로360번길 21  분당서현신영팰리스타워 10층 1019호,2025-06-26
3277,공인분당번역행정사 사무소,"전문서비스(회계,변리,컨설팅등)",13618,경기도 성남시 분당구 성남대로 168  501-2호,2025-06-26
3278,공임(성남 상대원점),"정비,세차장,자동차SVC",13205,경기도 성남시 중원구 사기막골로 192  1층 102호(상대원동),2025-06-26
3279,공주난방기,냉난방기구,13317,경기 성남시 수정구 제일로 139  (수진동),2025-06-26
3280,공주란제리,내의류판매업,13180,"경기 성남시 중원구 산성대로372번길 10,  2층 77호 (금광동)",2025-06-26
3281,공주밤상회,식품잡화,13375,"경기 성남시 중원구 성남대로1147번길 16-1,  1층 (성남동)",2025-06-26
3282,공주방,"수예,지물,커텐,카페트",13597,"경기 성남시 분당구 내정로165번길 38,  금호상가 106 (수내동)",2025-06-26
3283,공주열쇠,각종  수리점,13248,경기 성남시 중원구 광명로 251  (중앙동),2025-06-26
